allele	asc_allele	threshold	tag	duplicated
IGHD1-36AY*00	IGHD6-G14*01	0.001	D	IGHD5-12*01
IGHD1-3HNK*00	IGHD4-G8*01	0.001	D	IGHD3-16*03
IGHD1-3LM2*00	IGHD4-G8*02	0.001	D	IGHD3-16*02
IGHD1-3VE7*00	IGHD8-G20*01	0.001	D	IGHD7-27*01
IGHD1-5ABL*00	IGHD1-G1*01	0.001	D	IGHD1-7*01
IGHD1-5VO4*00	IGHD7-G17*01	0.001	D	IGHD6-19*01
IGHD1-5X42*00	IGHD7-G19*01	0.001	D	IGHD6-6*01
IGHD1-73R3*00	IGHD6-G14*02	0.001	D	IGHD5-18*02
IGHD1-AL4M*00	IGHD2-G6*01	0.001	D	IGHD2-8*01
IGHD1-ALRC*00	IGHD5-G12*01	0.001	D	IGHD4-11*01/IGHD4-4*01
IGHD1-C6NR*00	IGHD1-G1*02	0.001	D	IGHD1-14*01
IGHD1-CGIC*00	IGHD6-G15*01	0.001	D	IGHD5-18*01/IGHD5-5*01
IGHD1-EMSF*00	IGHD7-G17*02	0.001	D	IGHD6-13*01
IGHD1-FLTI*00	IGHD1-G2*01	0.001	D	IGHD1-26*01
IGHD1-FMCQ*00	IGHD3-G10*01	0.001	D	IGHD3-3*01
IGHD1-G3XM*00	IGHD7-G18*01	0.001	D	IGHD6-25*01
IGHD1-H3VN*00	IGHD2-G4*01	0.001	D	IGHD2-2*01
IGHD1-I3HM*00	IGHD3-G11*01	0.001	D	IGHD3-9*01
IGHD1-IKOP*00	IGHD2-G5*01	0.001	D	IGHD2-21*01
IGHD1-JHII*00	IGHD3-G9*01	0.001	D	IGHD3-22*01
IGHD1-L4H5*00	IGHD5-G12*02	0.001	D	IGHD4-17*01
IGHD1-LDJE*00	IGHD3-G7*01	0.001	D	IGHD3-10*01
IGHD1-NS4F*00	IGHD3-G7*02	0.001	D	IGHD3-10*03
IGHD1-O3PH*00	IGHD6-G16*01	0.001	D	IGHD5-24*01
IGHD1-VGC6*00	IGHD1-G1*03	0.001	D	IGHD1-20*01
IGHD1-WMY4*00	IGHD2-G4*02	0.001	D	IGHD2-2*02
IGHD1-XRHC*00	IGHD2-G5*02	0.001	D	IGHD2-21*02
IGHD1-XRP6*00	IGHD2-G3*01	0.001	D	IGHD2-15*01
IGHD1-Y3MH*00	IGHD1-G1*04	0.001	D	IGHD1-1*01
IGHD1-Y6IG*00	IGHD5-G13*01	0.001	D	IGHD4-23*01
IGHD1-ZDF6*00	IGHD2-G6*02	0.001	D	IGHD2-8*02
IGHJ1-2TKS*00	IGHJ1-G4*01	0.001	J	IGHJ5*02
IGHJ1-3RI3*00	IGHJ2-G5*01	0.001	J	IGHJ6*02
IGHJ1-AG67*00	IGHJ1-G4*02	0.001	J	IGHJ4*02
IGHJ1-AZGQ*00	IGHJ1-G2*01	0.001	J	IGHJ2*01
IGHJ1-CBX5*00	IGHJ1-G3*01	0.001	J	IGHJ3*02
IGHJ1-QD6K*00	IGHJ2-G5*02	0.001	J	IGHJ6*03
IGHJ1-VWSM*00	IGHJ1-G1*01	0.001	J	IGHJ1*01
IGHV1-2352*00	IGHV5-G52*01	0.001	V	IGHV4-4*09
IGHV1-24HV*00	IGHV3-G35*01	0.001	V	IGHV3-64D*09
IGHV1-27JB*00	IGHV1-G2*01	0.001	V	IGHV1-2*05
IGHV1-2E4B*00	IGHV5-G52*02	0.001	V	IGHV4-59*11
IGHV1-2KSE*00	IGHV2-G13*01	0.001	V	IGHV2-70*15
IGHV1-2WLF*00	IGHV3-G33*01	0.001	V	IGHV3-62*03
IGHV1-2XE6*00	IGHV5-G52*03	0.001	V	IGHV4-59*12
IGHV1-3CQG*00	IGHV1-G8*01	0.001	V	IGHV1-69*15
IGHV1-3OXN*00	IGHV3-G24*01	0.001	V	IGHV3-30-3*01
IGHV1-3PAY*00	IGHV3-G37*01	0.001	V	IGHV3-7*05
IGHV1-3QDR*00	IGHV1-G8*02	0.001	V	IGHV1-69*20
IGHV1-3VUL*00	IGHV3-G26*01	0.001	V	IGHV3-38*01
IGHV1-42YL*00	IGHV3-G28*01	0.001	V	IGHV3-43D*05
IGHV1-43PC*00	IGHV3-G23*01	0.001	V	IGHV3-25*02
IGHV1-44ND*00	IGHV4-G16*01	0.001	V	IGHV3-15*01
IGHV1-44X4*00	IGHV1-G8*03	0.001	V	IGHV1-69*14
IGHV1-4DTG*00	IGHV6-G56*01	0.001	V	IGHV5-51*06
IGHV1-4JBP*00	IGHV3-G30*01	0.001	V	IGHV3-48*01
IGHV1-4LYT*00	IGHV3-G14*01	0.001	V	IGHV3-11*06
IGHV1-4OOA*00	IGHV3-G28*02	0.001	V	IGHV3-43D*04
IGHV1-4XBI*00	IGHV3-G20*01	0.001	V	IGHV3-21*01
IGHV1-55JG*00	IGHV3-G25*01	0.001	V	IGHV3-35*01
IGHV1-5JOY*00	IGHV1-G6*01	0.001	V	IGHV1-46*03
IGHV1-5LBE*00	IGHV1-G1*01	0.001	V	IGHV1-18*01
IGHV1-5ONH*00	IGHV3-G30*02	0.001	V	IGHV3-48*03
IGHV1-5SY3*00	IGHV1-G8*04	0.001	V	IGHV1-69*02
IGHV1-6B3Z*00	IGHV3-G32*01	0.001	V	IGHV3-53*02
IGHV1-6NMF*00	IGHV3-G32*02	0.001	V	IGHV3-53*01
IGHV1-6NTQ*00	IGHV3-G24*02	0.001	V	IGHV3-33*01
IGHV1-6QVE*00	IGHV3-G20*02	0.001	V	IGHV3-21*05
IGHV1-6RTC*00	IGHV5-G49*01	0.001	V	IGHV4-39*07
IGHV1-6U2I*00	IGHV3-G37*02	0.001	V	IGHV3-7*04
IGHV1-6V26*00	IGHV3-G30*03	0.001	V	IGHV3-48*02
IGHV1-6VHY*00	IGHV5-G43*01	0.001	V	IGHV4-28*05
IGHV1-7EYU*00	IGHV3-G19*01	0.001	V	IGHV3-20*01
IGHV1-7SAN*00	IGHV3-G26*02	0.001	V	IGHV3-38*02
IGHV1-7SPR*00	IGHV3-G26*03	0.001	V	IGHV3-38*03
IGHV1-7VKM*00	IGHV5-G45*01	0.001	V	IGHV4-30-4*08
IGHV1-AAAI*00	IGHV3-G19*02	0.001	V	IGHV3-20*04
